ID,sex,GMSFwant,GMSfneed,GMSFurge,GMSFdoing,GMSFhow,GMSFgood,GMSFbetter,GMSFworse,GMSFsucceed,GMSFpast,GMSFthought,GMSFremind,GMSFgrab,GMSFkeep,GA1,GA2,GA3,GA4,GA5,GA6,GA7,GA8,GT1,GT2,GT3,GT4,GF1,GF2,GF3,GF4,GSE1,GSE2,GSE3,GR1,GR2,GR3,walktimes,wlakhr,walkm,vittimes,vighr,vigm,modtimes,modhr,modm,vigmin,MTFint,MTFIncImag,MTFSEImag,MTFavail,EIIAH,EIITech,EIIFeel,EIISE,EIIRout,EIIMotiv,EIICognitive,EIIT
61,1,5,8,3,7,7,8,8,7,4,2,8,8,8,8,5,5,5,5,5,5,5,5,1,2,3,1,2,4,2,5,5,5,2,5,4,5,8,3,NA,3,3,0,0,0,NA,180,16,20,23,24,40,7,13,12,14,55.52,18.83,86
62,1,5,8,4,5,3,4,7,6,5,5,4,8,5,5,2,2,6,6,2,5,2,7,2,2,2,2,4,2,5,2,3,4,2,2,2,2,6,2,30,0,0,0,0,0,0,0,17,18,17,17,32,8,13,9,6,46.25,12.02,68
63,1,11,10,10,10,10,11,11,11,9,11,10,9,9,11,7,7,7,7,7,6,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,10,2,30,6,10,10,1,20,NA,610,31,40,33,28,55,26,28,21,21,89.84,40.49,151
64,2,4,3,2,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,2,5,4,4,2,2,3,2,3,3,3,3,4,4,4,3,2,2,2,NA,30,1,1,0,0,1,NA,60,9,16,12,10,32,9,12,12,7,48.12,13.76,72
65,2,10,8,6,3,3,6,3,1,1,10,11,9,7,6,5,5,3,6,5,5,5,4,1,4,3,3,2,6,6,6,3,1,2,5,1,1,5,1,NA,3,1,0,1,0,30,60,24,17,10,27,38,11,20,6,7,54.76,15.34,82
66,1,7,10,8,8,5,6,9,9,2,3,5,5,6,6,6,4,6,6,5,5,6,1,2,1,1,1,4,4,4,3,5,3,2,1,1,1,20,5,NA,5,1,0,1,NA,30,60,25,18,24,16,39,5,15,10,3,54.69,6.8,72
67,1,1,3,1,2,3,3,3,4,1,3,3,3,3,2,7,3,7,7,4,7,6,6,1,4,1,1,2,3,1,4,1,4,4,2,2,2,3,1,0,0,0,0,0,0,0,0,5,9,10,9,47,7,10,9,6,55.64,11.23,79
68,1,7,8,2,2,5,3,4,2,1,2,5,7,4,2,4,3,4,5,6,5,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,17,10,9,16,32,4,6,3,3,34.23,6.01,48
69,1,2,1,5,2,4,5,7,6,3,4,4,4,2,2,5,4,6,5,4,5,6,3,2,1,3,2,6,5,6,6,4,3,3,4,2,3,4,1,NA,0,0,0,0,0,NA,0,8,13,18,10,38,8,23,10,9,61.24,14.87,88
70,2,8,11,8,6,6,9,9,2,9,9,8,9,7,3,7,7,7,7,7,7,7,7,4,2,2,2,7,6,7,6,6,7,6,2,1,2,10,3,0,0,0,0,2,0,45,0,27,30,20,24,56,10,26,19,5,86.95,12.65,116
71,1,6,3,6,6,7,6,8,6,7,6,6,6,7,6,5,4,6,4,4,5,5,5,1,4,4,1,5,4,3,1,4,4,2,5,4,4,5,2,0,1,1,0,1,1,0,60,15,26,20,19,38,10,13,10,13,52.04,20.25,84
72,1,8,10,8,10,5,10,10,11,4,10,8,5,6,10,5,5,5,7,5,6,6,6,2,2,1,2,7,7,7,7,2,2,3,2,1,2,16,10,NA,1,0,20,1,NA,15,20,26,29,31,19,45,7,28,7,5,68.72,10.28,92
73,1,7,8,9,9,9,9,9,6,5,6,8,7,8,8,6,6,6,6,2,5,5,6,4,5,4,6,6,5,3,6,5,5,3,6,2,2,4,4,30,1,1,0,1,1,30,60,24,29,24,23,42,19,20,13,10,64.51,24.51,104
74,1,7,10,8,7,6,8,9,7,6,7,8,10,9,8,6,6,7,6,7,6,6,5,4,5,6,6,5,6,5,6,6,5,6,5,4,5,5,2,0,1,0,45,0,2,NA,45,25,26,24,27,49,21,22,17,14,75.74,29.89,123
75,NA,6,8,5,6,8,3,7,2,1,1,2,1,1,2,7,7,1,7,7,7,7,7,1,1,1,1,7,7,7,7,1,4,3,1,1,1,14,2,NA,4,1,10,0,0,0,70,19,16,12,4,50,4,28,8,3,73.7,6.01,93
76,1,6,8,NA,4,5,9,9,8,7,7,7,6,5,6,4,3,3,6,4,5,4,NA,6,6,5,6,6,6,5,5,5,6,6,6,6,5,10,3,30,2,0,20,0,NA,0,20,21,23,26,18,33.14285714,23,22,17,17,62.89571429,34.32,112.1428571
77,2,5,2,2,6,4,3,1,1,1,3,4,8,3,2,2,4,2,7,1,6,5,1,3,2,3,3,2,5,1,2,1,3,3,4,2,1,15,4,NA,3,4,0,0,0,NA,240,9,14,5,15,28,11,10,7,7,38.39,15.34,63
78,2,5,1,3,7,8,6,7,3,6,8,9,8,1,2,7,6,7,1,7,7,7,7,1,2,3,1,7,7,2,6,6,1,2,7,6,1,3,1,30,2,8,0,0,0,NA,480,9,29,16,18,49,7,22,9,14,68.3,18.83,101
79,1,8,8,8,8,8,NA,8,5,1,5,9,9,1,3,5,3,1,5,1,6,2,1,5,1,6,6,4,5,4,1,5,1,1,1,1,1,2,0,30,5,7,30,10,5,0,450,24,22,19.5,19,24,18,14,7,3,38.83,17.07,66
